id,media
u01,5-4-1
u02,3-4-2-1
u03,3-5-2
u04,4-3-2
u05,2-3-3-2
u06,4-4-2
u07,4-4-1-1
u08,4-2-3-1
u09,4-5-1
u10,3-4-3
u11,4-1-4-1
u12,5-3-2
u13,4-3-2-1
S01,Basel
S02,Manchester City
S03,Juventus
S04,Tottenham Hotspur
S05,FC Porto
S06,Liverpool
S07,Real Madrid
S08,Paris Saint-Germain
S09,Bayern Munich
S10,Besiktas JK
S11,Chelsea FC
S12,Barcelona
S13,Sevilla
S14,Manchester United
S15,Shakhtar Donetsk
S16,AS Roma
S17,CSKA Moscow
S18,Benfica
S19,Celtic
S20,Anderlecht
S21,Atletico Madrid
S22,Qarabag
S23,Sporting CP
S24,Olympiacos
S25,Spartak Moscow
S26,Maribor
S27,Napoli
S28,Feyenoord
S29,RB Leipzig
S30,Monaco
S31,Borussia Dortmund
S32,APOEL
